因子,窗口,n,均值(日),标准差(日),年化σ(%),偏度,峰度(超额),JB-p,min,max,>0占比%,=0占比%
"组合收益 (NAV, %)",2021-08 起,1273,-0.009172663000785543,0.2848552012841644,4.5219,-0.4170011905486521,2.0619523599306415,4.402931838908201e-57,-1.3449,1.0232,46.0,6.1
"信用利差代理 (残差, %)",2021-08 起,1273,-3.927729772192985e-07,0.16411825467369925,2.6053,-1.508938229104907,10.543365688565846,0.0,-1.0379,1.1275,56.6,0.0
汇率因子 CNY/USD (%),2021-08 起,1268,0.0031580441640378554,0.250595014579782,3.9781,-0.373423487278661,5.3618952510123306,0.0,-1.5854,1.0584,48.9,5.5
"利率贡献 (NAV, %)",2021-08 起,1273,-0.009172191673212881,0.2328246457248601,3.696,0.17884903649637993,1.1716438362362611,9.30773179947168e-18,-1.0651,1.1339,48.5,0.0
利率因子 Δ5Y (bp),2021-08 起,1273,0.30479183032207385,6.853460584906287,,-0.2920932631635827,1.8312352822921616,9.003476043991882e-43,-32.0,31.0,50.3,5.9
利率因子 Δ10Y (bp),2021-08 起,1273,0.2812254516889238,6.174437647113609,,-0.13828124828956417,0.994766540443285,8.317686240609293e-13,-30.0,28.0,49.0,5.3
外部利差 ΔOAS (bp),2023-09 起,749,-0.08945260347129506,3.030373575117313,,0.03819291384345198,3.087160249828775,3.662664610389129e-64,-15.0,15.0,40.7,16.2
