date,d5y_bp,d10y_bp,fx_ret_pct,oas_bp,doas_bp,etf_ret_pct,etf_ret_tr_pct,etf_ret_rmb_pct,etf_rate_attrib_tr_pct,etf_spread_proxy_tr_pct,is_exdate,div_yield_pct
2021-10-08,3.0,3.0,0.0016,,,-0.1803,-0.1803,-0.1787,-0.0969,-0.0834,False,0.0
2021-10-12,3.0,-2.0,0.0776,,,-0.1952,-0.1952,-0.1176,0.0496,-0.2448,False,0.0
2021-10-13,1.0,-3.0,-0.3464,,,0.0,0.0,-0.3464,0.0943,-0.0943,False,0.0
2021-10-14,-4.0,-4.0,0.1835,,,0.0,0.0,0.1835,0.1622,-0.1622,False,0.0
2021-10-15,8.0,7.0,-0.0622,,,0.3122,0.3122,0.25,-0.2527,0.5649,False,0.0
2021-10-18,3.0,0.0,-0.0777,,,0.0828,0.0828,0.0051,-0.009,0.0918,False,0.0
2021-10-19,1.0,6.0,-0.7306,,,-0.1217,-0.1217,-0.8523,-0.1694,0.0477,False,0.0
2021-10-20,-1.0,0.0,0.1785,,,-0.0049,-0.0049,0.1736,0.0218,-0.0267,False,0.0
2021-10-21,7.0,3.0,-0.0172,,,-0.1561,-0.1561,-0.1733,-0.1278,-0.0283,False,0.0
2021-10-22,-1.0,-2.0,-0.1346,,,0.234,0.234,0.0994,0.0804,0.1536,False,0.0
2021-10-25,-3.0,-2.0,0.0266,,,0.073,0.073,0.0996,0.0959,-0.0229,False,0.0
2021-10-26,1.0,-1.0,-0.0564,,,0.0875,0.0875,0.0311,0.0357,0.0518,False,0.0
2021-10-27,-4.0,-9.0,0.1487,,,0.3009,0.3009,0.4496,0.3087,-0.0078,False,0.0
2021-10-28,2.0,3.0,0.0031,,,-0.1843,-0.1843,-0.1812,-0.0892,-0.0951,False,0.0
2021-10-29,0.0,-2.0,0.2079,,,0.1262,0.1262,0.3341,0.0727,0.0535,False,0.0
2021-11-01,2.0,3.0,-0.1219,,,-0.165,-0.165,-0.2869,-0.0892,-0.0758,False,0.0
2021-11-02,-5.0,-2.0,0.0359,,,0.034,0.034,0.0699,0.1113,-0.0773,False,0.0
2021-11-03,4.0,4.0,0.1031,,,-0.1506,-0.1506,-0.0475,-0.134,-0.0166,False,0.0
2021-11-04,-9.0,-7.0,-0.1422,,,0.2817,0.2817,0.1395,0.2887,-0.007,False,0.0
2021-11-05,-6.0,-8.0,-0.0141,,,0.1647,0.1647,0.1506,0.2948,-0.1301,False,0.0
2021-11-08,9.0,6.0,-0.0923,,,-0.3686,-0.3686,-0.4609,-0.2311,-0.1375,False,0.0
2021-11-09,-5.0,-5.0,0.0219,,,0.0583,0.0583,0.0802,0.1992,-0.1409,False,0.0
2021-11-10,15.0,10.0,-0.0532,,,-0.399,-0.399,-0.4522,-0.3946,-0.0044,False,0.0
2021-11-12,1.0,2.0,-0.1488,,,0.1559,0.1559,0.0071,-0.0522,0.2081,False,0.0
2021-11-15,2.0,5.0,0.058,,,-0.1315,-0.1315,-0.0735,-0.1478,0.0163,False,0.0
2021-11-16,1.0,0.0,0.1487,,,-0.0536,-0.0536,0.0951,0.0064,-0.06,False,0.0
2021-11-17,-3.0,-3.0,-0.2255,,,0.336,0.336,0.1105,0.1252,0.2108,False,0.0
2021-11-18,-2.0,-1.0,0.1191,,,0.17,0.17,0.2891,0.0589,0.1111,False,0.0
2021-11-19,0.0,-5.0,0.0188,,,0.1261,0.1261,0.1449,0.1606,-0.0345,False,0.0
2021-11-22,11.0,9.0,-0.0329,,,-0.3155,-0.3155,-0.3484,-0.3345,0.019,False,0.0
2021-11-23,0.0,4.0,0.1065,,,-0.2531,-0.2531,-0.1466,-0.1031,-0.15,False,0.0
2021-11-24,1.0,-3.0,0.011,,,0.2288,0.2288,0.2398,0.0943,0.1345,False,0.0
2021-11-26,-18.0,-16.0,0.011,,,0.4706,0.4706,0.4816,0.6218,-0.1512,False,0.0
2021-11-29,2.0,4.0,-0.0767,,,-0.218,-0.218,-0.2947,-0.1185,-0.0995,False,0.0
2021-11-30,-4.0,-9.0,-0.3686,,,0.2035,0.2035,-0.1651,0.3087,-0.1052,False,0.0
2021-12-01,1.0,0.0,0.0016,,,0.0484,0.0484,0.05,0.0064,0.042,False,0.0
2021-12-02,6.0,1.0,0.1915,,,-0.1646,-0.1646,0.0269,-0.0615,-0.1031,False,0.0
2021-12-03,-8.0,-9.0,-0.0078,,,0.3677,0.3677,0.3599,0.3396,0.0281,False,0.0
2021-12-06,8.0,8.0,-0.0031,,,-0.2805,-0.2805,-0.2836,-0.282,0.0015,False,0.0
2021-12-07,5.0,5.0,-0.1554,,,-0.1211,-0.1211,-0.2765,-0.171,0.0499,False,0.0
2021-12-08,1.0,4.0,-0.3494,,,-0.0825,-0.0825,-0.4319,-0.1108,0.0283,False,0.0
2021-12-09,-1.0,-3.0,0.5298,,,0.1745,0.1745,0.7043,0.1097,0.0648,False,0.0
2021-12-10,-1.0,-1.0,-0.1365,,,0.0678,0.0678,-0.0687,0.0511,0.0167,False,0.0
2021-12-13,-4.0,-6.0,-0.0408,,,0.29,0.29,0.2492,0.2208,0.0692,False,0.0
2021-12-14,2.0,2.0,0.0188,,,-0.1304,-0.1304,-0.1116,-0.0599,-0.0705,False,0.0
2021-12-15,3.0,3.0,0.0031,,,-0.1596,-0.1596,-0.1565,-0.0969,-0.0627,False,0.0
2021-12-16,-7.0,-3.0,0.0016,,,0.1644,0.1644,0.166,0.156,0.0084,False,0.0
2021-12-17,-1.0,-3.0,0.1161,,,0.1063,0.1063,0.2224,0.1097,-0.0034,False,0.0
2021-12-20,-1.0,2.0,0.0125,,,-0.1063,-0.1063,-0.0938,-0.0368,-0.0695,False,0.0
2021-12-21,7.0,5.0,-0.0628,,,-0.0919,-0.0919,-0.1547,-0.1864,0.0945,False,0.0
2021-12-22,-1.0,-2.0,-0.033,,,0.0435,0.0435,0.0105,0.0804,-0.0369,False,0.0
2021-12-23,2.0,4.0,0.0016,,,-0.1936,-0.1936,-0.192,-0.1185,-0.0751,False,0.0
2021-12-27,1.0,-2.0,0.0141,,,0.0,0.0,0.0141,0.065,-0.065,False,0.0
2021-12-28,1.0,1.0,-0.033,,,0.063,0.063,0.03,-0.0229,0.0859,False,0.0
2021-12-29,2.0,6.0,-0.0063,,,-0.2084,-0.2084,-0.2147,-0.1771,-0.0313,False,0.0
2021-12-30,-2.0,-3.0,0.0722,,,0.2423,0.2423,0.3145,0.1175,0.1248,False,0.0
2021-12-31,-1.0,0.0,0.0,,,-0.0097,-0.0097,-0.0097,0.0218,-0.0315,False,0.0
2022-01-03,11.0,11.0,-0.2766,,,-0.5095,-0.5095,-0.7861,-0.3931,-0.1164,False,0.0
2022-01-04,0.0,3.0,0.2687,,,-0.7226,0.029,0.2977,-0.0738,0.1028,True,0.749
2022-01-05,6.0,5.0,-0.1272,,,-0.2404,-0.2404,-0.3676,-0.1787,-0.0617,False,0.0
2022-01-06,4.0,2.0,0.2856,,,-0.3346,-0.3346,-0.049,-0.0753,-0.2593,False,0.0
2022-01-07,3.0,3.0,-0.0831,,,-0.1628,-0.1628,-0.2459,-0.0969,-0.0659,False,0.0
2022-01-10,3.0,2.0,-0.0204,,,-0.0494,-0.0494,-0.0698,-0.0676,0.0182,False,0.0
2022-01-11,-2.0,-3.0,-0.0329,,,0.0987,0.0987,0.0658,0.1175,-0.0188,False,0.0
2022-01-12,-1.0,-1.0,-0.2435,,,-0.1135,-0.1135,-0.357,0.0511,-0.1646,False,0.0
2022-01-13,-3.0,-4.0,0.0236,,,0.0395,0.0395,0.0631,0.1545,-0.115,False,0.0
