date,series,value,global_z,roll60_z,roll20_z,pre60_z,hit
2021-10-12,ETF_ret_pct,-0.7812679018391888,-3.4095332885188263,-4.8073434722122315,-3.530968726517128,-6.809935746843692,global+r60+r20+pre60
2021-10-15,ETF_ret_pct,0.5865139388556706,2.5304479812410343,3.425344457899314,2.783916901419676,3.952614357953382,r60+pre60
2022-01-18,ETF_ret_pct,-0.5964175438652464,-2.606768087662077,-3.2167641274428878,-2.179638577101698,-3.610360216229738,r60+pre60
2022-02-07,ETF_ret_pct,-0.8024060755970619,-3.5013318140314245,-3.7731283735229186,-2.6048476742966327,-4.314686774419112,global+r60+pre60
2022-03-15,ETF_ret_pct,-1.4568373819999647,-6.343385705025395,-4.583148119834587,-3.257720714897935,-5.833507513620388,global+r60+r20+pre60
2022-03-17,ETF_ret_pct,0.8403355652822797,3.6327405120938376,3.0552624766895766,2.1416214961823283,3.2720591280444893,global+r60+pre60
2022-03-28,ETF_ret_pct,-0.8394610476273268,-3.66225355846651,-2.105230379314836,-1.3247326423823387,-2.2228530943128337,global
2022-03-30,ETF_ret_pct,0.7318684266908959,3.1616911440967064,2.336710128725176,1.620796675847904,2.4878399643183555,global
2022-05-03,ETF_ret_pct,-0.753910856986012,-3.2907275483129927,-1.6713865580673988,-2.0341840588939655,-1.7458136304586447,global
2022-06-13,ETF_ret_pct,-1.8408730205465906,-8.011169581091735,-4.769556212824386,-3.7839240125180447,-5.849339661688316,global+r60+r20+pre60
2022-07-22,ETF_ret_pct,0.5527808863501571,2.38395261619599,1.798305682694318,3.095538819656496,1.8793570881374373,r20
2022-09-23,ETF_ret_pct,-0.7834501122577775,-3.419010157290901,-3.1220602281277485,-3.3529822936408005,-3.4822253426439564,global+r60+r20+pre60
2022-09-28,ETF_ret_pct,-1.0268146704020709,-4.475889897970968,-3.410461666573743,-2.769428062887631,-3.8291550364756066,global+r60+pre60
2022-10-11,ETF_ret_pct,-0.8069229114146315,-3.520947456933449,-2.4298323807966344,-1.6907396356107744,-2.6096275086653975,global
2022-10-14,ETF_ret_pct,-1.282808617783271,-5.587616349788552,-3.4960431159895955,-2.3685424919871108,-3.998482571450611,global+r60+pre60
2022-11-14,ETF_ret_pct,1.7637201083321508,7.642800250652418,4.949273666390291,4.017729811491567,6.379450009010145,global+r60+r20+pre60
2022-11-29,ETF_ret_pct,0.911179236463111,3.940399282940938,2.2511494114891804,1.4772487418049713,2.3934284845836262,global
2023-01-12,ETF_ret_pct,0.8948734366528377,3.869586714313566,2.218362585071869,2.6236433089335995,2.154377295755826,global
2023-03-14,ETF_ret_pct,0.7834521476287326,3.3857081087024135,2.9537954496208454,3.045395692012954,3.0229172915888487,global+r20+pre60
2023-06-29,ETF_ret_pct,0.7773338150811493,3.359137511218575,4.604272891172661,3.4939721300045403,5.830316913402119,global+r60+r20+pre60
2023-10-04,ETF_ret_pct,-0.920600100688973,-4.014622950348027,-5.185421971186116,-3.7723103791595043,-7.200217081101835,global+r60+r20+pre60
2023-11-29,ETF_ret_pct,0.6779603377576493,2.9275799510504825,2.892839501439666,2.2904243129677857,3.18114281732126,pre60
2023-12-14,ETF_ret_pct,0.8849579130108309,3.8265257356099305,3.132795989345088,2.7949550982018567,3.497387592711601,global+r60+pre60
2024-02-07,ETF_ret_pct,-0.7722109071914618,-3.37020071590587,-3.7567061972343754,-3.8072828074206417,-4.384104392633796,global+r60+r20+pre60
2024-03-25,ETF_ret_pct,0.6571757694457392,2.8373170576565547,4.149072036310881,3.772839663064904,5.031822124574508,r60+r20+pre60
2024-05-16,ETF_ret_pct,0.665185734115803,2.8721026050998852,4.116223441376962,3.938101420618319,4.975444165215458,r60+r20+pre60
2024-06-11,ETF_ret_pct,-0.5503642909914674,-2.4067687519911267,-3.1724753926659646,-2.767686902685636,-3.546884711463191,r60+pre60
2024-07-17,ETF_ret_pct,0.5467467990256214,2.35774787752975,3.098203304174862,3.066912089401582,3.451310962050945,r60+r20+pre60
2024-08-02,ETF_ret_pct,1.4016489653841169,6.07040343747403,5.583162072414457,3.7119383362990725,8.257171783022805,global+r60+r20+pre60
2024-09-10,ETF_ret_pct,1.0626997304420849,4.598420079417249,4.009467971839933,4.146415528597182,4.761284000154051,global+r60+r20+pre60
2025-03-24,ETF_ret_pct,0.6417115654830052,2.7701593581189434,4.5204730580026045,3.081636592582066,5.652155479670751,r60+r20+pre60
2025-04-10,ETF_ret_pct,-1.8589875463534522,-8.089837056270873,-6.4994429748500435,-3.8301134256141434,-12.563078938166244,global+r60+r20+pre60
2025-04-11,ETF_ret_pct,0.769643218216598,3.3257389092123506,2.4878768057328595,1.6670510897391615,2.677024928156579,global
2025-06-05,ETF_ret_pct,1.287568655563387,5.574977278548506,3.685796803304198,4.173415110574823,4.283297217943584,global+r60+r20+pre60
2025-07-07,ETF_ret_pct,1.2296330800474098,5.3233755806908745,3.250381606218643,4.167612696046823,3.6557688545503644,global+r60+r20+pre60
2025-07-23,ETF_ret_pct,-0.9641142462885721,-4.2035954912467375,-3.6083965862650498,-2.653493916255943,-4.1408484120682205,global+r60+pre60
2025-09-08,ETF_ret_pct,0.5271558067340032,2.2726684271335498,2.1136712874587826,3.215254542915646,2.229400819269945,r20
2026-02-06,ETF_ret_pct,0.5232800428920603,2.2558368214328497,4.2000352071834355,3.45789831050903,5.121277783790712,r60+r20+pre60
2026-03-23,ETF_ret_pct,-0.7380105409564797,-3.2216759082132063,-4.437785852196665,-3.246484867086781,-5.552254736260044,global+r60+r20+pre60
2026-04-01,ETF_ret_pct,0.5635789697131299,2.430846361248768,3.047852495779522,2.5272072559183942,3.3827859964435705,r60+pre60
2026-07-02,ETF_ret_pct,0.5616876941020088,2.4226329595411493,4.268272990644095,3.840600616931629,5.241863268030323,r60+r20+pre60
2026-07-06,ETF_ret_pct,-0.6376198291361934,-2.7857007182169577,-4.2191550106249105,-3.1106961720703916,-5.150205000517494,r60+r20+pre60
2021-10-19,FX_ret_pct,-0.7306139656012567,-2.928120740339949,-4.038425452362689,-3.124843683068455,-4.919035549373187,r60+r20+pre60
2021-12-09,FX_ret_pct,0.5298462952557426,2.1017532221668755,2.9468428949591523,2.7580065161418226,3.218996109043145,pre60
2022-01-27,FX_ret_pct,0.742419651815851,2.9500284312221754,4.358095900469602,3.3526310191639923,5.261915549470476,r60+r20+pre60
2022-04-22,FX_ret_pct,0.7875880414650593,3.130273151409106,3.4083673874735316,2.5593702277461574,3.874400442288838,global+r60+pre60
2022-04-25,FX_ret_pct,0.8805907050731809,3.5014008185425514,3.6886345630565573,2.311817036540503,3.8363324176656053,global+r60+pre60
2022-04-28,FX_ret_pct,0.983032537352857,3.9101955428638853,3.5935862504947,2.2036023902819335,4.146791240230241,global+r60+pre60
2022-05-09,FX_ret_pct,0.9615889422578849,3.8246247525897,2.9713688501086626,1.7160350680637266,3.276272953157875,global+pre60
2022-05-12,FX_ret_pct,0.9981866864716915,3.9706682625868748,2.831871556944888,1.5659956645840258,3.079385394244328,global+pre60
2022-09-06,FX_ret_pct,0.7897988599297134,3.1390954352815323,2.7661230896934748,2.1124117411182732,3.0105881023016656,global+pre60
2022-09-29,FX_ret_pct,-1.109058341670499,-4.438305212283234,-3.800709159059615,-2.9297617401077862,-4.398085887268506,global+r60+pre60
2022-10-26,FX_ret_pct,-1.3546101122563936,-5.418180973283178,-3.903102034727208,-2.8471543700958493,-4.613650358711386,global+r60+pre60
2022-11-07,FX_ret_pct,-1.0050889363989235,-4.0234146991009645,-2.7222212053558787,-2.05358253989573,-2.9664259990953816,global
2022-11-10,FX_ret_pct,-0.7778687457035804,-3.1166912136994656,-2.047201598699894,-1.4536496209034548,-2.164857223155886,global
