date,ret_tr_pct,sig_uncond,sig_garch,sig_garch_t,sig_ewma,sig_dnorm,m1_var_95,m1_var_99,garch_var_95,garch_var_99,garch_t_var_95,garch_t_var_99,ewma_var_95,ewma_var_99,dnorm_var_95,dnorm_var_99,ret_rmb_pct,rmb_sig_uncond,rmb_sig_garch,rmb_sig_ewma,rmb_sig_dnorm,rmb_m1_var_95,rmb_m1_var_99,rmb_garch_var_95,rmb_garch_var_99,rmb_ewma_var_95,rmb_ewma_var_99,rmb_dnorm_var_95,rmb_dnorm_var_99
2022-08-25,0.4225,0.318621,0.356575,0.338347,0.302238,0.318624,0.524099,0.741208,0.58653,0.829501,0.556548,0.787098,0.497151,0.703096,0.524104,0.741214,0.2707,0.385226,0.499236,0.354747,0.38523,0.633659,0.896152,0.821193,1.161372,0.583524,0.825249,0.633664,0.89616
2022-08-26,0.1313,0.319885,0.363796,0.348739,0.310769,0.319888,0.52618,0.74415,0.598407,0.846298,0.573641,0.811271,0.511183,0.722941,0.526184,0.744156,0.4783,0.385636,0.499288,0.350274,0.38564,0.634333,0.897106,0.821279,1.161494,0.576165,0.814841,0.634339,0.897114
2022-08-29,-0.5373,0.319901,0.355859,0.339955,0.303013,0.319904,0.526205,0.744185,0.585353,0.827835,0.559191,0.790836,0.498426,0.704899,0.52621,0.744192,-0.0263,0.386661,0.500247,0.359244,0.386665,0.636019,0.899491,0.822856,1.163725,0.590921,0.83571,0.636025,0.899499
2022-08-30,0.1264,0.321134,0.367233,0.355258,0.321915,0.321137,0.528234,0.747054,0.604061,0.854293,0.584365,0.826438,0.529518,0.748871,0.528238,0.747061,0.1742,0.386654,0.499759,0.34836,0.386657,0.636007,0.899472,0.822054,1.16259,0.573017,0.810389,0.636013,0.899481
2022-08-31,-0.2144,0.321025,0.359722,0.347003,0.31364,0.321028,0.528054,0.7468,0.591707,0.836822,0.570786,0.807234,0.515907,0.729621,0.528059,0.746808,-0.5188,0.386787,0.499521,0.340432,0.38679,0.636225,0.899782,0.821662,1.162036,0.559977,0.791947,0.636231,0.89979
2022-09-01,-0.4743,0.321197,0.352857,0.339933,0.308587,0.3212,0.528337,0.7472,0.580415,0.820852,0.559156,0.790786,0.507595,0.717866,0.528342,0.747208,-0.2191,0.387976,0.500162,0.35368,0.38798,0.638182,0.902549,0.822717,1.163527,0.581768,0.822766,0.638188,0.902558
2022-09-02,0.1712,0.322285,0.359351,0.348852,0.320952,0.322288,0.530126,0.749731,0.591096,0.835957,0.573826,0.811534,0.527934,0.74663,0.530132,0.749739,0.0539,0.388173,0.445703,0.34708,0.388177,0.638505,0.903006,0.733136,1.036838,0.570912,0.807412,0.638512,0.903015
2022-09-06,-0.5368,0.322465,0.353225,0.342405,0.313987,0.322468,0.530423,0.75015,0.58102,0.821708,0.563221,0.796536,0.516478,0.730429,0.530428,0.750158,0.253,0.388176,0.428124,0.336765,0.38818,0.63851,0.903013,0.704222,0.995945,0.553945,0.783417,0.638517,0.903022
2022-09-07,0.3158,0.323925,0.363836,0.355499,0.331605,0.323929,0.532825,0.753548,0.598473,0.846391,0.584761,0.826998,0.545457,0.771413,0.53283,0.753556,0.4854,0.38847,0.418754,0.332335,0.388474,0.638995,0.903698,0.688809,0.974148,0.546658,0.773112,0.639001,0.903708
2022-09-08,-0.1218,0.324729,0.363697,0.355708,0.330678,0.324733,0.534147,0.755417,0.598245,0.846068,0.585104,0.827483,0.543933,0.769257,0.534153,0.755425,-0.2482,0.389707,0.426098,0.343448,0.389711,0.641029,0.906575,0.700889,0.991232,0.564938,0.798964,0.641035,0.906584
2022-09-09,0.0277,0.324558,0.355604,0.347056,0.32199,0.324562,0.533866,0.75502,0.584933,0.827241,0.570873,0.807357,0.529641,0.749045,0.533871,0.755028,-0.4363,0.389949,0.416306,0.33849,0.389953,0.641427,0.907139,0.684781,0.968452,0.556782,0.787429,0.641434,0.907148
2022-09-12,0.0,0.324166,0.346916,0.337684,0.312254,0.32417,0.533221,0.754108,0.570643,0.807032,0.555457,0.785555,0.513627,0.726397,0.533227,0.754116,0.0361,0.390746,0.416942,0.345141,0.39075,0.642739,0.908993,0.685828,0.969933,0.567723,0.802902,0.642745,0.909003
2022-09-13,-0.3161,0.32405,0.33768,0.327763,0.302742,0.324054,0.533031,0.753839,0.55545,0.785545,0.539137,0.762475,0.49798,0.704268,0.533036,0.753847,-0.345,0.390169,0.404504,0.334744,0.390173,0.64179,0.907651,0.665369,0.940998,0.55062,0.778714,0.641796,0.90766
2022-09-14,-0.2502,0.324324,0.335328,0.326208,0.30356,0.324327,0.53348,0.754474,0.551581,0.780073,0.536579,0.758857,0.499326,0.706171,0.533485,0.754481,0.2784,0.390399,0.400528,0.335368,0.390403,0.642168,0.908186,0.658829,0.931749,0.551647,0.780166,0.642174,0.908194
2022-09-15,-0.1058,0.324051,0.330006,0.321219,0.300625,0.324054,0.533032,0.75384,0.542827,0.767693,0.528372,0.747251,0.494499,0.699345,0.533037,0.753848,0.3557,0.390845,0.395503,0.332225,0.390849,0.642901,0.909223,0.650564,0.92006,0.546478,0.772856,0.642907,0.909231
2022-09-16,-0.0948,0.323857,0.320603,0.311489,0.292617,0.32386,0.532712,0.753389,0.527359,0.745818,0.512368,0.724617,0.481326,0.680715,0.532718,0.753396,-0.288,0.391065,0.394739,0.33368,0.391069,0.643263,0.909735,0.649306,0.918281,0.548871,0.776241,0.643269,0.909743
2022-09-19,-0.134,0.323817,0.310497,0.301202,0.284651,0.323821,0.532647,0.753297,0.510736,0.722308,0.495447,0.700686,0.468223,0.662185,0.532653,0.753304,0.225,0.391091,0.389169,0.331117,0.391095,0.643306,0.909795,0.640145,0.905325,0.544655,0.770278,0.643312,0.909804
2022-09-20,-0.2237,0.323764,0.300525,0.291418,0.277925,0.323767,0.532559,0.753171,0.494334,0.699112,0.479353,0.677925,0.457159,0.646537,0.532564,0.753179,-0.044,0.391398,0.382753,0.325727,0.391402,0.64381,0.910509,0.62959,0.890398,0.535788,0.757738,0.643816,0.910517
2022-09-21,0.1007,0.323884,0.293633,0.28548,0.274973,0.323887,0.532757,0.753451,0.482997,0.683078,0.469585,0.664111,0.452303,0.63967,0.532762,0.753459,0.5315,0.391382,0.37214,0.315988,0.391385,0.643784,0.910471,0.612133,0.865709,0.519768,0.735082,0.64379,0.91048
2022-09-22,-0.7129,0.324026,0.284308,0.2768,0.267735,0.324029,0.53299,0.753781,0.467658,0.661385,0.455309,0.643921,0.440397,0.622832,0.532995,0.753788,-0.298,0.392915,0.385132,0.332877,0.392919,0.646306,0.914039,0.633503,0.895932,0.547549,0.774371,0.646312,0.914047
2022-09-23,-0.1917,0.326692,0.329999,0.323481,0.312849,0.326694,0.537375,0.759982,0.542815,0.767676,0.532094,0.752514,0.514606,0.727781,0.53738,0.759989,0.5039,0.393306,0.380959,0.330888,0.393309,0.646949,0.914947,0.62664,0.886226,0.544277,0.769744,0.646954,0.914955
2022-09-26,-0.9128,0.326241,0.323673,0.317061,0.306932,0.326244,0.536634,0.758934,0.53241,0.752961,0.521534,0.737579,0.504872,0.714015,0.536639,0.758941,-0.7474,0.393976,0.389837,0.343733,0.393979,0.648051,0.916506,0.641243,0.906878,0.565406,0.799626,0.648056,0.916513
2022-09-27,-0.451,0.330684,0.371104,0.367347,0.372219,0.330687,0.543942,0.769269,0.610429,0.8633,0.604249,0.85456,0.612263,0.865893,0.543946,0.769276,0.0743,0.396688,0.41326,0.380236,0.396692,0.652513,0.922816,0.679772,0.961367,0.625451,0.884544,0.652518,0.922824
2022-09-28,0.5534,0.331619,0.373472,0.370327,0.37741,0.331622,0.54548,0.771445,0.614325,0.868809,0.609151,0.861492,0.620801,0.877969,0.545485,0.771452,0.8734,0.396557,0.40539,0.369102,0.39656,0.652296,0.92251,0.666826,0.943059,0.607135,0.858641,0.652301,0.922517
2022-09-29,-0.3648,0.333549,0.385493,0.383908,0.390214,0.333553,0.548655,0.775936,0.634098,0.896773,0.63149,0.893084,0.641863,0.907755,0.548661,0.775943,-1.4739,0.400288,0.437694,0.416931,0.400291,0.658433,0.931189,0.719963,1.018208,0.68581,0.969907,0.658439,0.931197
2022-09-30,-0.16,0.334118,0.383992,0.382183,0.388736,0.334122,0.549591,0.77726,0.631629,0.893281,0.628653,0.889072,0.639432,0.904317,0.549596,0.777267,-0.2457,0.410773,0.515747,0.541982,0.410776,0.67568,0.95558,0.848353,1.199783,0.891506,1.260813,0.675685,0.955587
2022-10-03,0.485,0.334066,0.377633,0.374649,0.378926,0.334069,0.549505,0.777137,0.621168,0.878487,0.61626,0.871546,0.623295,0.881495,0.54951,0.777145,0.44,0.41054,0.51544,0.528906,0.410543,0.675297,0.955039,0.847848,1.199069,0.869998,1.230395,0.675302,0.955046
2022-10-04,0.0,0.335806,0.385176,0.383153,0.386113,0.335809,0.552367,0.781186,0.633577,0.896036,0.630248,0.891328,0.635117,0.898214,0.552373,0.781193,0.0,0.41156,0.5161,0.523998,0.411563,0.676975,0.957412,0.848933,1.200604,0.861924,1.218976,0.67698,0.957418
2022-10-05,-0.1367,0.335536,0.378143,0.374835,0.37435,0.335539,0.551923,0.780557,0.622008,0.879675,0.616566,0.871979,0.615769,0.870851,0.551927,0.780563,-0.1367,0.411402,0.515621,0.508035,0.411405,0.676715,0.957045,0.848144,1.199488,0.835666,1.181841,0.67672,0.957051
2022-10-06,-0.2389,0.334917,0.371678,0.367357,0.364487,0.334919,0.550904,0.779116,0.611373,0.864635,0.604266,0.854583,0.599545,0.847907,0.550909,0.779123,-0.2389,0.410801,0.515247,0.493695,0.410804,0.675726,0.955646,0.84753,1.19862,0.812078,1.148482,0.675731,0.955652
2022-10-07,-0.2768,0.335113,0.36693,0.362075,0.358196,0.335116,0.551228,0.779574,0.603563,0.85359,0.595576,0.842294,0.589197,0.833272,0.551233,0.779581,-0.2768,0.411022,0.514938,0.482218,0.411024,0.676089,0.956159,0.847022,1.197901,0.793201,1.121785,0.676094,0.956166
2022-10-11,-0.5386,0.335206,0.363139,0.357961,0.353841,0.335209,0.551381,0.779791,0.597327,0.844769,0.58881,0.832724,0.582033,0.82314,0.551386,0.779798,0.2124,0.411112,0.513813,0.472419,0.411115,0.676239,0.956371,0.84517,1.195282,0.777082,1.098988,0.676243,0.956377
2022-10-12,0.0116,0.336503,0.370265,0.366502,0.367555,0.336505,0.553513,0.782806,0.609049,0.861347,0.60286,0.852594,0.604591,0.855043,0.553518,0.782813,0.1246,0.411238,0.510924,0.460973,0.411241,0.676445,0.956663,0.840418,1.188562,0.758254,1.072361,0.67645,0.956669
2022-10-13,-0.4539,0.336417,0.36343,0.3587,0.356369,0.33642,0.553373,0.782608,0.597805,0.845446,0.590025,0.834443,0.586191,0.829021,0.553377,0.782614,-0.4818,0.411281,0.507593,0.44797,0.411284,0.676516,0.956763,0.834939,1.180813,0.736867,1.042114,0.676521,0.956769
2022-10-14,-0.333,0.337333,0.366134,0.362125,0.362961,0.337336,0.554879,0.784738,0.602254,0.851738,0.59566,0.842412,0.597034,0.844355,0.554884,0.784745,-0.0614,0.411809,0.507613,0.450072,0.411812,0.677385,0.957991,0.834973,1.18086,0.740323,1.047002,0.677389,0.957998
2022-10-17,-0.2285,0.337758,0.363929,0.359872,0.361233,0.337761,0.555578,0.785726,0.598627,0.846608,0.591954,0.837171,0.594192,0.840336,0.555583,0.785733,-0.1576,0.411627,0.476903,0.43662,0.411629,0.677085,0.957567,0.784458,1.109419,0.718196,1.015709,0.677089,0.957574
2022-10-18,0.0879,0.337096,0.358898,0.354318,0.354673,0.337099,0.554489,0.784186,0.590352,0.834906,0.582817,0.824249,0.583401,0.825075,0.554494,0.784193,0.1643,0.411377,0.468503,0.425075,0.41138,0.676674,0.956986,0.770641,1.089879,0.699206,0.988853,0.676678,0.956992
2022-10-19,-0.5288,0.337105,0.352878,0.347516,0.344541,0.337108,0.554504,0.784207,0.58045,0.820901,0.571629,0.808427,0.566736,0.801506,0.554509,0.784214,-0.1421,0.411535,0.461771,0.414086,0.411538,0.676934,0.957354,0.759567,1.074218,0.68113,0.963289,0.676938,0.95736
2022-10-20,-0.5553,0.338375,0.359934,0.356016,0.358279,0.338378,0.556593,0.787161,0.592055,0.837314,0.585611,0.828201,0.589333,0.833465,0.556598,0.787168,-0.7644,0.408182,0.454486,0.402978,0.408185,0.671418,0.949554,0.747585,1.057272,0.662858,0.937447,0.671423,0.94956
2022-10-21,-0.1363,0.339778,0.367839,0.365219,0.373046,0.339781,0.558901,0.790426,0.605058,0.855703,0.600748,0.849608,0.613624,0.867818,0.558906,0.790432,0.2373,0.410754,0.468646,0.43325,0.410756,0.675649,0.955537,0.770876,1.090212,0.712654,1.00787,0.675653,0.955542
