date,rv60_ann_%,chronic_high,crisis_window,regime
2022-01-21,3.8141433290996356,False,False,平稳
2022-01-24,3.8172611732159973,False,False,平稳
2022-01-25,3.7588802287518677,False,False,平稳
2022-01-26,3.817519286262094,False,False,平稳
2022-01-27,3.8220011669769125,False,False,平稳
2022-01-28,3.816166221902086,False,False,平稳
2022-01-31,3.814943630527415,False,False,平稳
2022-02-01,3.807313105327693,False,False,平稳
2022-02-02,3.7525533182946336,False,False,平稳
2022-02-03,3.7305080734307765,False,False,平稳
2022-02-04,3.9178102271506337,False,False,平稳
2022-02-07,3.912391935926804,False,False,平稳
2022-02-08,3.8728039334898217,False,False,平稳
2022-02-09,3.86967386623433,False,False,平稳
2022-02-10,4.043909794761685,False,False,平稳
2022-02-11,4.2517157995491175,False,False,平稳
2022-02-14,4.328222672296685,False,False,平稳
2022-02-15,4.313558375040421,False,False,平稳
2022-02-16,4.324346037612734,False,False,平稳
2022-02-17,4.329378879880961,False,False,平稳
2022-02-18,4.3254771969759975,False,False,平稳
2022-02-22,4.297571025271629,False,False,平稳
2022-02-23,4.199096511212213,False,False,平稳
2022-02-24,4.204358162249569,False,False,平稳
2022-02-25,4.171274903915337,False,False,平稳
2022-02-28,4.26130936969744,False,False,平稳
2022-03-01,4.366760049805379,False,False,平稳
2022-03-02,4.710607339316273,True,False,高波动
2022-03-03,4.729759431643468,True,False,高波动
2022-03-04,4.789818580814794,True,False,高波动
2022-03-07,4.8863797121407115,True,False,高波动
2022-03-08,4.984233401338359,True,False,高波动
2022-03-09,5.053324057056614,True,False,高波动
2022-03-10,4.990842109490582,True,False,高波动
2022-03-11,5.008423665267701,True,False,高波动
2022-03-14,5.360964179899871,True,False,高波动
2022-03-15,5.3774896715216505,True,False,高波动
2022-03-16,5.410956099104914,True,False,高波动
2022-03-17,5.655553625132182,True,False,高波动
2022-03-18,5.695572804844841,True,False,高波动
2022-03-21,5.782934522089945,True,False,高波动
2022-03-22,5.801687801855886,True,False,高波动
2022-03-23,6.038953986984438,True,False,高波动
2022-03-24,6.055849161520186,True,False,高波动
2022-03-25,6.137008640496233,True,False,高波动
2022-03-28,6.139524898747376,True,False,高波动
2022-03-29,6.276657181880132,True,False,高波动
