date,ret_tr_pct,ret_rmb_pct,hs250_var_95,rmb_hs250_var_95,hs250_var_99,rmb_hs250_var_99,hs500_var_95,rmb_hs500_var_95,hs500_var_99,rmb_hs500_var_99,hs750_var_95,rmb_hs750_var_95,hs750_var_99,rmb_hs750_var_99,fhs_sig_e,fhs_sig_g,rmb_fhs_sig_e,rmb_fhs_sig_g,fhs_e_var_95,fhs_g_var_95,rmb_fhs_e_var_95,rmb_fhs_g_var_95,fhs_e_var_99,fhs_g_var_99,rmb_fhs_e_var_99,rmb_fhs_g_var_99
2022-09-21,0.1007,0.5315,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.274973,0.293633,0.315988,0.37214,,,,,,,,
2022-09-22,-0.7129,-0.298,0.60532,0.66331,0.874407,0.876879,,,,,,,,,0.267735,0.284308,0.332877,0.385132,,,,,,,,
2022-09-23,-0.1917,0.5039,0.60875,0.66331,0.874407,0.876879,,,,,,,,,0.312849,0.329999,0.330888,0.380959,,,,,,,,
2022-09-26,-0.9128,-0.7474,0.60875,0.66331,0.874407,0.876879,,,,,,,,,0.306932,0.323673,0.343733,0.389837,,,,,,,,
2022-09-27,-0.451,0.0743,0.611565,0.69298,0.969614,0.876879,,,,,,,,,0.372219,0.371104,0.380236,0.41326,,,,,,,,
2022-09-28,0.5534,0.8734,0.611565,0.69298,0.969614,0.876879,,,,,,,,,0.37741,0.373472,0.369102,0.40539,,,,,,,,
2022-09-29,-0.3648,-1.4739,0.611565,0.69298,0.969614,0.876879,,,,,,,,,0.390214,0.385493,0.416931,0.437694,,,,,,,,
2022-09-30,-0.16,-0.2457,0.611565,0.707655,0.969614,0.905636,,,,,,,,,0.388736,0.383992,0.541982,0.515747,,,,,,,,
2022-10-03,0.485,0.44,0.611565,0.707655,0.969614,0.905636,,,,,,,,,0.378926,0.377633,0.528906,0.51544,,,,,,,,
2022-10-04,0.0,0.0,0.611565,0.707655,0.969614,0.905636,,,,,,,,,0.386113,0.385176,0.523998,0.5161,,,,,,,,
2022-10-05,-0.1367,-0.1367,0.611565,0.707655,0.969614,0.905636,,,,,,,,,0.37435,0.378143,0.508035,0.515621,,,,,,,,
2022-10-06,-0.2389,-0.2389,0.611565,0.707655,0.969614,0.905636,,,,,,,,,0.364487,0.371678,0.493695,0.515247,,,,,,,,
2022-10-07,-0.2768,-0.2768,0.611565,0.707655,0.969614,0.905636,,,,,,,,,0.358196,0.36693,0.482218,0.514938,,,,,,,,
2022-10-11,-0.5386,0.2124,0.611565,0.707655,0.969614,0.905636,,,,,,,,,0.353841,0.363139,0.472419,0.513813,,,,,,,,
2022-10-12,0.0116,0.1246,0.611565,0.707655,0.969614,0.905636,,,,,,,,,0.367555,0.370265,0.460973,0.510924,,,,,,,,
2022-10-13,-0.4539,-0.4818,0.611565,0.707655,0.969614,0.905636,,,,,,,,,0.356369,0.36343,0.44797,0.507593,,,,,,,,
2022-10-14,-0.333,-0.0614,0.611565,0.707655,0.969614,0.905636,,,,,,,,,0.362961,0.366134,0.450072,0.507613,,,,,,,,
2022-10-17,-0.2285,-0.1576,0.611565,0.707655,0.969614,0.905636,,,,,,,,,0.361233,0.363929,0.43662,0.476903,,,,,,,,
2022-10-18,0.0879,0.1643,0.611565,0.707655,0.969614,0.905636,,,,,,,,,0.354673,0.358898,0.425075,0.468503,,,,,,,,
2022-10-19,-0.5288,-0.1421,0.611565,0.707655,0.969614,0.905636,,,,,,,,,0.344541,0.352878,0.414086,0.461771,,,,,,,,
2022-10-20,-0.5553,-0.7644,0.611565,0.69298,0.969614,0.905636,,,,,,,,,0.358279,0.359934,0.402978,0.454486,,,,,,,,
2022-10-21,-0.1363,0.2373,0.611565,0.707655,0.969614,0.905636,,,,,,,,,0.373046,0.367839,0.43325,0.468646,,,,,,,,
2022-10-24,-0.196,0.1212,0.611565,0.707655,0.969614,0.905636,,,,,,,,,0.36322,0.361341,0.424054,0.463641,,,,,,,,
2022-10-25,0.2434,0.3246,0.611565,0.707655,0.969614,0.905636,,,,,,,,,0.355412,0.355661,0.412207,0.494823,,,,,,,,
2022-10-26,0.3019,-1.0527,0.611565,0.707655,0.969614,0.905636,,,,,,,,,0.349704,0.353703,0.407482,0.454303,,,,,,,,
2022-10-27,0.4012,1.1362,0.611565,0.711975,0.969614,0.993508,,,,,,,,,0.347022,0.35396,0.471773,0.507025,,,,,,,,
