口径,n,零收益%,日均%,σ_day%,σ_ann%,VaR95_μ0%,VaR99_μ0%
除权 USD(参考),1273,6.12725844461901,-0.009172663000785543,0.2848552012841644,4.521936133566875,0.46855832059232205,0.6626586547473516
复权 USD(主口径),1273,6.12725844461901,0.0035280221558995797,0.2660404290153413,4.223260883181153,0.43760990168733493,0.6188898500183885
人民币总收益(次口径),1268,1.5772870662460567,0.0068186689309622725,0.3221045697902822,5.11325152693521,0.5298298068480352,0.7493118607031334
