观测数,日σ(%),年化σ(%),置信度,z,VaR_忽略均值(%),VaR_含均值(%)
1273,0.266,4.2233,95%,1.6449,0.4376,0.4341
1273,0.266,4.2233,99%,2.3263,0.6189,0.6154
