model,role,caliber,conf,scope,T,x,rate_pct,exp_x,n_zero,exp_x_eff,lr_uc,p_uc,p_uc_mc,lr_ind,p_ind,p_ind_mc,p_ind_mc_cond,lr_cc,p_cc,n00,n01,n10,n11,n_pairs,n_pair_dropped,x_lo,x_hi,mean_var,es,es_ratio,size_uc,size_ind
HS500,主,次,99,common523,518,4,0.772201,5.18,9,5.09,0.294628,0.58727,0.6783,0.062379,0.802775,0.75955,0.5704,0.357006,0.836521,509,4,4,0,517,0,2,10,0.735057,0.7212,0.981149,0.04995,0.0146
HS500,主,次,99,calm,680,4,0.588235,6.8,11,6.69,1.366604,0.242396,0.2769,0.047408,0.827637,0.9097,0.56275,1.414011,0.493119,671,4,4,0,679,0,3,12,0.820585,0.7212,0.878885,0.0552,0.015
HS500,主,次,99,highvol,88,0,0.0,0.88,0,0.88,1.768859,0.183523,0.4711,-0.0,1.0,1.0,1.0,1.768859,0.41295,87,0,0,0,87,0,0,3,1.048046,,,0.01335,0.0046
HS500,主,次,99,ex_doubtful,756,4,0.529101,7.56,11,7.45,2.044292,0.152778,0.2054,0.043243,0.835268,0.8784,0.3761,2.087535,0.352125,736,4,4,0,744,23,3,13,0.847284,0.7212,0.851191,0.0407,0.02045
HS500,主,次,99,ex_doubtful_all,753,4,0.531208,7.53,10,7.43,2.015884,0.155661,0.1435,0.043597,0.834605,0.872,0.37495,2.059481,0.3571,730,4,4,0,738,29,3,13,0.846381,0.7212,0.852099,0.04345,0.0202
HS750,主,次,99,full,518,1,0.19305,5.18,9,5.09,5.104369,0.023866,0.0403,0.003876,0.950358,0.9948,0.63005,5.108245,0.07776,515,1,1,0,517,0,2,10,0.857306,0.7011,0.817795,0.04995,0.0146
HS750,主,次,99,common773,518,1,0.19305,5.18,9,5.09,5.104369,0.023866,0.0403,0.003876,0.950358,0.9948,0.63005,5.108245,0.07776,515,1,1,0,517,0,2,10,0.857306,0.7011,0.817795,0.04995,0.0146
HS750,主,次,99,common523,518,1,0.19305,5.18,9,5.09,5.104369,0.023866,0.0403,0.003876,0.950358,0.9948,0.63005,5.108245,0.07776,515,1,1,0,517,0,2,10,0.857306,0.7011,0.817795,0.04995,0.0146
HS750,主,次,99,calm,508,1,0.19685,5.08,9,4.99,4.942388,0.026206,0.0209,0.003953,0.94987,0.9941,0.63055,4.94634,0.084317,505,1,1,0,507,0,2,10,0.855947,0.7011,0.819093,0.05285,0.0146
HS750,主,次,99,ex_doubtful,509,1,0.196464,5.09,9,5.0,4.958551,0.025962,0.0522,0.004008,0.949521,0.96355,0.26315,4.96256,0.083636,498,1,1,0,500,17,2,10,0.857515,0.7011,0.817595,0.0522,0.0146
