scenario_id,scenario_class,scenario_name,direction,severity,anchor_date,caliber,horizon_days,event_window_days,worst_day_loss_pct,worst_day_date,loss_realized_pct,loss_modeled_pct,worst_day_modeled_pct,residual_pct,benchmark_loss_pct,benchmark_source,buffer_pct,loss_after_buffer_pct,buffer_applied,mdd_pct,mdd_note,credit_range_lo_pct,credit_range_hi_pct,credit_range_note,var_1d_95_pct,var_1d_99_pct,es_1d_99_pct,var_hd_95_pct,var_hd_99_pct,es_hd_99_pct,x_var95,x_var99,x_es99,x_hd_es99,tail_flag_hd,tail_flag,fx_horizon_note
S03,假设,利率上行·极端,利率上行,极端,2022-06-13,主,1,1,2.1193,2022-06-13,2.1193,2.1193,2.1193,0.0,2.1193,δ 映射,0.3365,2.4558,假设情景 δ 映射，加亏损侧偏差缓冲,2.097,1 日锚点路径为单点，回撤 = 1 − exp(损失)，与基准同信息、不含额外信息,,,,0.3544,0.5361,0.6659,0.4342,0.6496,0.8573,6.929,4.581,3.688,2.865,是,是,
S03,假设,利率上行·极端,利率上行,极端,2022-06-13,次,1,1,2.1193,2022-06-13,2.1193,2.1193,2.1193,0.0,2.1193,δ 映射,0.3365,2.4558,假设情景 δ 映射，加亏损侧偏差缓冲,2.097,1 日锚点路径为单点，回撤 = 1 − exp(损失)，与基准同信息、不含额外信息,,,,0.4454,0.726,0.7024,0.534,0.8529,1.0646,5.514,3.382,3.496,2.307,是,是,
S04,假设,信用利差走阔·轻度,信用利差走阔,轻度,2023-12-13,主,1,1,0.2085,2023-12-13,0.2085,0.2085,0.2085,0.0,0.2085,δ 映射,0.3365,0.545,假设情景 δ 映射，加亏损侧偏差缓冲,0.2083,1 日锚点路径为单点，回撤 = 1 − exp(损失)，与基准同信息、不含额外信息,0.1589,1.3728,参考项：上限由 2022 年未解释残差极值标定，线性外推有偏差，不作信用风险可控的判断,0.3544,0.5361,0.6659,0.4342,0.6496,0.8573,1.538,1.017,0.819,0.636,否,否,
S04,假设,信用利差走阔·轻度,信用利差走阔,轻度,2023-12-13,次,1,1,0.2085,2023-12-13,0.2085,0.2085,0.2085,0.0,0.2085,δ 映射,0.3365,0.545,假设情景 δ 映射，加亏损侧偏差缓冲,0.2083,1 日锚点路径为单点，回撤 = 1 − exp(损失)，与基准同信息、不含额外信息,0.1589,1.3728,参考项：上限由 2022 年未解释残差极值标定，线性外推有偏差，不作信用风险可控的判断,0.4454,0.726,0.7024,0.534,0.8529,1.0646,1.224,0.751,0.776,0.512,否,否,
S05,假设,信用利差走阔·中度,信用利差走阔,中度,2023-12-13,主,1,1,0.3128,2023-12-13,0.3128,0.3128,0.3128,0.0,0.3128,δ 映射,0.3365,0.6493,假设情景 δ 映射，加亏损侧偏差缓冲,0.3123,1 日锚点路径为单点，回撤 = 1 − exp(损失)，与基准同信息、不含额外信息,0.2384,1.5019,参考项：上限由 2022 年未解释残差极值标定，线性外推有偏差，不作信用风险可控的判断,0.3544,0.5361,0.6659,0.4342,0.6496,0.8573,1.832,1.211,0.975,0.757,否,否,
S05,假设,信用利差走阔·中度,信用利差走阔,中度,2023-12-13,次,1,1,0.3128,2023-12-13,0.3128,0.3128,0.3128,0.0,0.3128,δ 映射,0.3365,0.6493,假设情景 δ 映射，加亏损侧偏差缓冲,0.3123,1 日锚点路径为单点，回撤 = 1 − exp(损失)，与基准同信息、不含额外信息,0.2384,1.5019,参考项：上限由 2022 年未解释残差极值标定，线性外推有偏差，不作信用风险可控的判断,0.4454,0.726,0.7024,0.534,0.8529,1.0646,1.458,0.894,0.924,0.61,否,否,
S06,假设,信用利差走阔·极端,信用利差走阔,极端,2023-12-13,主,1,1,0.4171,2023-12-13,0.4171,0.4171,0.4171,0.0,0.4171,δ 映射,0.3365,0.7536,假设情景 δ 映射，加亏损侧偏差缓冲,0.4162,1 日锚点路径为单点，回撤 = 1 − exp(损失)，与基准同信息、不含额外信息,0.3179,1.631,参考项：上限由 2022 年未解释残差极值标定，线性外推有偏差，不作信用风险可控的判断,0.3544,0.5361,0.6659,0.4342,0.6496,0.8573,2.126,1.406,1.132,0.879,否,是,
S06,假设,信用利差走阔·极端,信用利差走阔,极端,2023-12-13,次,1,1,0.4171,2023-12-13,0.4171,0.4171,0.4171,0.0,0.4171,δ 映射,0.3365,0.7536,假设情景 δ 映射，加亏损侧偏差缓冲,0.4162,1 日锚点路径为单点，回撤 = 1 − exp(损失)，与基准同信息、不含额外信息,0.3179,1.631,参考项：上限由 2022 年未解释残差极值标定，线性外推有偏差，不作信用风险可控的判断,0.4454,0.726,0.7024,0.534,0.8529,1.0646,1.692,1.038,1.073,0.708,否,是,
S07,假设,离岸汇率贬值·轻度,离岸汇率贬值,轻度,2022-11-14,主,1,1,0.0,2022-11-14,0.0,0.0,0.0,0.0,0.0,δ 映射,0.0,0.0,纯汇率情景口径搬运，恒等式不加缓冲,0.0,1 日锚点路径为单点，回撤 = 1 − exp(损失)，与基准同信息、不含额外信息,,,,0.3544,0.5361,0.6659,0.4342,0.6496,0.8573,0.0,0.0,0.0,0.0,否,否,纯汇率情景，主口径按口径恒为 0
S07,假设,离岸汇率贬值·轻度,离岸汇率贬值,轻度,2022-11-14,次,1,1,1.5854,2022-11-14,1.5854,1.5854,1.5854,0.0,1.5854,δ 映射,0.0,1.5854,纯汇率情景口径搬运，恒等式不加缓冲,1.5729,1 日锚点路径为单点，回撤 = 1 − exp(损失)，与基准同信息、不含额外信息,,,,0.4454,0.726,0.7024,0.534,0.8529,1.0646,3.56,2.184,2.257,1.489,是,是,
S08,假设,离岸汇率贬值·中度,离岸汇率贬值,中度,2022-11-14,主,1,1,0.0,2022-11-14,0.0,0.0,0.0,0.0,0.0,δ 映射,0.0,0.0,纯汇率情景口径搬运，恒等式不加缓冲,0.0,1 日锚点路径为单点，回撤 = 1 − exp(损失)，与基准同信息、不含额外信息,,,,0.3544,0.5361,0.6659,0.4342,0.6496,0.8573,0.0,0.0,0.0,0.0,否,否,纯汇率情景，主口径按口径恒为 0
S08,假设,离岸汇率贬值·中度,离岸汇率贬值,中度,2022-11-14,次,1,1,2.3781,2022-11-14,2.3781,2.3781,2.3781,0.0,2.3781,δ 映射,0.0,2.3781,纯汇率情景口径搬运，恒等式不加缓冲,2.35,1 日锚点路径为单点，回撤 = 1 − exp(损失)，与基准同信息、不含额外信息,,,,0.4454,0.726,0.7024,0.534,0.8529,1.0646,5.339,3.275,3.386,2.234,是,是,
S09,假设,离岸汇率贬值·极端,离岸汇率贬值,极端,2022-11-14,主,1,1,0.0,2022-11-14,0.0,0.0,0.0,0.0,0.0,δ 映射,0.0,0.0,纯汇率情景口径搬运，恒等式不加缓冲,0.0,1 日锚点路径为单点，回撤 = 1 − exp(损失)，与基准同信息、不含额外信息,,,,0.3544,0.5361,0.6659,0.4342,0.6496,0.8573,0.0,0.0,0.0,0.0,否,否,纯汇率情景，主口径按口径恒为 0
S09,假设,离岸汇率贬值·极端,离岸汇率贬值,极端,2022-11-14,次,1,1,3.1708,2022-11-14,3.1708,3.1708,3.1708,0.0,3.1708,δ 映射,0.0,3.1708,纯汇率情景口径搬运，恒等式不加缓冲,3.1211,1 日锚点路径为单点，回撤 = 1 − exp(损失)，与基准同信息、不含额外信息,,,,0.4454,0.726,0.7024,0.534,0.8529,1.0646,7.119,4.367,4.514,2.978,是,是,
S10,假设,利率+信用同时恶化·极端,组合,极端,2022-06-13/2023-12-13,主,1,1,2.5363,2022-06-13/2023-12-13,2.5363,2.5363,2.5363,0.0,2.5363,δ 映射,0.3365,2.8728,假设情景 δ 映射，加亏损侧偏差缓冲,2.5044,1 日锚点路径为单点，回撤 = 1 − exp(损失)，与基准同信息、不含额外信息,2.4372,3.7502,参考项：上限由 2022 年未解释残差极值标定，线性外推有偏差，不作信用风险可控的判断,0.3544,0.5361,0.6659,0.4342,0.6496,0.8573,8.106,5.359,4.314,3.351,是,是,
S10,假设,利率+信用同时恶化·极端,组合,极端,2022-06-13/2023-12-13,次,1,1,2.5363,2022-06-13/2023-12-13,2.5363,2.5363,2.5363,0.0,2.5363,δ 映射,0.3365,2.8728,假设情景 δ 映射，加亏损侧偏差缓冲,2.5044,1 日锚点路径为单点，回撤 = 1 − exp(损失)，与基准同信息、不含额外信息,2.4372,3.7502,参考项：上限由 2022 年未解释残差极值标定，线性外推有偏差，不作信用风险可控的判断,0.4454,0.726,0.7024,0.534,0.8529,1.0646,6.45,3.957,4.09,2.698,是,是,
