horizon_days,is_main_horizon,caliber,rank,window_end,window_start,loss_pct,caliber_note
5,False,次,10,2022-01-18,2022-01-11,1.5753,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
6,False,主,1,2022-03-14,2022-03-07,3.0629,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
6,False,主,2,2022-03-15,2022-03-08,3.0008,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
6,False,主,3,2022-06-14,2022-06-07,2.5639,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
6,False,主,4,2022-09-27,2022-09-20,2.3914,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
6,False,主,5,2022-06-13,2022-06-06,2.3392,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
6,False,主,6,2025-04-11,2025-04-04,2.2896,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
6,False,主,7,2022-03-09,2022-03-02,2.1672,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
6,False,主,8,2022-03-16,2022-03-09,2.1408,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
6,False,主,9,2022-09-29,2022-09-22,2.0798,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
6,False,主,10,2022-09-26,2022-09-19,2.0744,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
6,False,次,1,2022-03-14,2022-03-07,2.3423,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
6,False,次,2,2022-03-15,2022-03-08,2.2096,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
6,False,次,3,2025-04-11,2025-04-04,2.1496,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
6,False,次,4,2022-03-09,2022-03-02,2.0753,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
6,False,次,5,2022-06-06,2022-05-27,1.9625,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
6,False,次,6,2022-12-30,2022-12-22,1.8319,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
6,False,次,7,2022-05-23,2022-05-16,1.6844,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
6,False,次,8,2022-10-06,2022-09-29,1.6552,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
6,False,次,9,2022-02-10,2022-02-03,1.6542,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
6,False,次,10,2022-01-18,2022-01-10,1.6451,[附录] 与 1 日基准列不同量纲，仅供追溯选型，不构成覆盖度结论
